Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad,Age_equal_depth,Height_equal_depth,Weight_equal_depth
Female,0.14893617021276595,0.3207547169811322,0.18656716417910446,yes,no,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight,1,0,0
Female,0.14893617021276595,0.1320754716981134,0.12686567164179102,yes,no,3.0,3.0,Sometimes,yes,3.0,yes,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,0,0
Male,0.19148936170212766,0.6603773584905661,0.2835820895522388,yes,no,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Frequently,Public_Transportation,Normal_Weight,2,3,1
Male,0.276595744680851,0.6603773584905661,0.3582089552238806,no,no,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Frequently,Walking,Overweight_Level_I,3,3,2
Male,0.17021276595744683,0.6226415094339623,0.37910447761194027,no,no,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,1,3,2
Male,0.3191489361702128,0.3207547169811322,0.10447761194029848,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight,3,0,0
Female,0.19148936170212766,0.09433962264150964,0.11940298507462688,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Motorbike,Normal_Weight,2,0,0
Male,0.17021276595744683,0.35849056603773555,0.10447761194029848,no,no,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,1,0
Male,0.21276595744680848,0.6226415094339623,0.18656716417910446,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Frequently,Public_Transportation,Normal_Weight,2,3,0
Male,0.17021276595744683,0.509433962264151,0.2164179104477612,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Normal_Weight,1,2,1
Male,0.25531914893617025,0.7547169811320757,0.49253731343283574,yes,yes,3.0,3.0,Frequently,no,3.0,no,2.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I,2,3,2
Female,0.14893617021276595,0.509433962264151,0.3059701492537313,yes,yes,2.0,3.0,Frequently,no,2.0,yes,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II,1,2,1
Male,0.17021276595744683,0.37735849056603765,0.12686567164179102,no,no,3.0,3.0,Sometimes,no,3.0,no,2.0,0.0,Sometimes,Public_Transportation,Normal_Weight,1,1,0
Male,0.5744680851063829,0.6603773584905661,0.44776119402985076,no,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Frequently,Automobile,Obesity_Type_I,3,3,2
Male,0.19148936170212766,0.6037735849056602,0.15671641791044777,yes,yes,3.0,1.0,Sometimes,no,1.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight,2,3,0
Female,0.17021276595744683,0.4716981132075473,0.2014925373134328,yes,no,3.0,3.0,Always,no,2.0,yes,2.0,1.0,Sometimes,Public_Transportation,Normal_Weight,1,1,1
Male,0.276595744680851,0.9056603773584904,0.47014925373134325,yes,yes,2.0,1.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II,3,3,2
Female,0.3191489361702128,0.15094339622641506,0.291044776119403,no,yes,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,no,Automobile,Obesity_Type_I,3,0,1
Female,0.34042553191489366,0.49056603773584895,0.3208955223880597,yes,yes,3.0,4.0,Frequently,yes,1.0,no,0.0,0.0,no,Automobile,Overweight_Level_II,3,2,1
Female,0.19148936170212766,0.37735849056603765,0.2313432835820895,yes,no,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I,2,1,1
Male,0.17021276595744683,0.37735849056603765,0.3059701492537313,yes,no,2.0,3.0,Sometimes,no,2.0,no,3.0,2.0,no,Walking,Overweight_Level_II,1,1,1
Female,0.8085106382978724,0.4528301886792452,0.3582089552238806,yes,yes,3.0,1.0,Sometimes,yes,2.0,no,0.0,0.0,no,Automobile,Obesity_Type_I,3,1,2
Female,0.17021276595744683,0.37735849056603765,0.15671641791044777,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Automobile,Normal_Weight,1,1,0
Female,0.17021276595744683,0.28301886792452846,0.3208955223880597,yes,yes,1.0,1.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I,1,0,1
Male,0.14893617021276595,0.7547169811320757,0.2164179104477612,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight,1,3,1
Male,0.12765957446808512,0.28301886792452846,0.08208955223880593,yes,no,2.0,4.0,Frequently,yes,2.0,no,3.0,2.0,no,Public_Transportation,Normal_Weight,1,0,0
Male,0.14893617021276595,0.4716981132075473,0.19402985074626866,yes,yes,2.0,1.0,Frequently,no,2.0,no,1.0,2.0,Always,Walking,Normal_Weight,1,1,0
Female,0.19148936170212766,0.28301886792452846,0.09701492537313433,no,yes,2.0,4.0,Frequently,no,2.0,no,2.0,1.0,Sometimes,Automobile,Normal_Weight,2,0,0
Male,0.10638297872340424,0.5660377358490565,0.2761194029850746,yes,yes,3.0,3.0,Sometimes,no,2.0,yes,3.0,1.0,Sometimes,Public_Transportation,Normal_Weight,0,2,1
Male,0.19148936170212766,0.4339622641509435,0.2313432835820895,no,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,2.0,Frequently,Walking,Normal_Weight,2,1,1
